1   	   1807 	    2169 	 complement	    363
2   	   2480 	    2707 	 direct 	    228
3   	   7235 	    9016 	 complement	   1782
4   	  11565 	   11951 	 complement	    387
5   	  12046 	   12426 	 direct 	    381
6   	  13363 	   13743 	 complement	    381
7   	  21566 	   21850 	 direct 	    285
8   	  22395 	   22685 	 complement	    291
9   	  24000 	   27968 	 complement	   3969
10  	  31567 	   32940 	 direct 	   1374
11  	  33448 	   34701 	 direct 	   1254
12  	  35155 	   36303 	 direct 	   1149
13  	  36509 	   37147 	 direct 	    639
14  	  37464 	   38972 	 direct 	   1509
15  	  39259 	   41901 	 direct 	   2643
16  	  42177 	   42719 	 direct 	    543
17  	  42881 	   45022 	 complement	   2142
18  	  45899 	   48250 	 direct 	   2352
19  	  48564 	   51707 	 direct 	   3144
20  	  51855 	   52595 	 complement	    741
21  	  52801 	   54789 	 complement	   1989
22  	  54989 	   56857 	 complement	   1869
23  	  57029 	   57385 	 complement	    357
24  	  57518 	   57850 	 direct 	    333
25  	  57950 	   58462 	 complement	    513
26  	  58695 	   61052 	 complement	   2358
27  	  61316 	   62563 	 direct 	   1248
28  	  62840 	   65404 	 direct 	   2565
29  	  65778 	   67520 	 complement	   1743
30  	  68716 	   69525 	 complement	    810
31  	  71786 	   73288 	 direct 	   1503
32  	  73426 	   73518 	 complement	     93
33  	  74020 	   74823 	 direct 	    804
34  	  75043 	   76152 	 complement	   1110
35  	  76427 	   79435 	 direct 	   3009
36  	  79718 	   80587 	 direct 	    870
37  	  80710 	   81951 	 complement	   1242
38  	  82706 	   83227 	 direct 	    522
39  	  83335 	   84474 	 complement	   1140
40  	  84749 	   87031 	 complement	   2283
41  	  87286 	   87752 	 direct 	    467
42  	  87855 	   92270 	 complement	   4416
43  	  92900 	   94486 	 direct 	   1587
44  	  94687 	   95472 	 direct 	    786
45  	  95630 	   99697 	 complement	   4068
46  	  99305 	   99868 	 direct 	    564
47  	 100225 	  101145 	 complement	    921
48  	 101565 	  105872 	 complement	   4308
49  	 106272 	  108551 	 complement	   2280
50  	 108877 	  110430 	 complement	   1554
51  	 110846 	  113359 	 complement	   2514
52  	 113614 	  114615 	 complement	   1002
53  	 114919 	  118314 	 direct 	   3396
54  	 118564 	  119541 	 complement	    978
55  	 120225 	  124295 	 direct 	   4071
56  	 124879 	  126786 	 direct 	   1908
57  	 126903 	  128102 	 complement	   1200
58  	 128252 	  129019 	 complement	    768
59  	 129270 	  130487 	 direct 	   1218
60  	 130799 	  131983 	 direct 	   1185
61  	 132199 	  134076 	 direct 	   1878
62  	 134184 	  135665 	 complement	   1482
63  	 135854 	  136633 	 direct 	    780
64  	 136914 	  137510 	 direct 	    597
65  	 137698 	  138345 	 complement	    648
66  	 139152 	  139254 	 direct 	    103
67  	 139503 	  141431 	 complement	   1929
68  	 142174 	  143160 	 direct 	    987
69  	 142367 	  142468 	 direct 	    102
70  	 143707 	  147531 	 direct 	   3825
71  	 147594 	  151166 	 complement	   3573
72  	 152257 	  153876 	 direct 	   1620
73  	 154065 	  154724 	 complement	    660
74  	 155005 	  156285 	 direct 	   1281
75  	 156754 	  158619 	 complement	   1866
76  	 158966 	  159793 	 direct 	    828
77  	 160597 	  164187 	 complement	   3591
78  	 164544 	  165866 	 complement	   1323
79  	 166267 	  166339 	 direct 	     73
80  	 166742 	  168871 	 complement	   2130
81  	 169375 	  170295 	 direct 	    921
82  	 170396 	  171703 	 complement	   1308
83  	 172211 	  175135 	 complement	   2925
84  	 176856 	  177023 	 complement	    168
85  	 179281 	  179820 	 complement	    540
86  	 181141 	  181254 	 direct 	    114
87  	 182522 	  182603 	 complement	     82
88  	 183770 	  184477 	 direct 	    708
89  	 184892 	  185596 	 direct 	    705
90  	 186321 	  186545 	 direct 	    225
91  	 186836 	  187732 	 direct 	    897
92  	 188107 	  188811 	 direct 	    705
93  	 190193 	  192256 	 direct 	   2064
94  	 192337 	  192417 	 complement	     81
95  	 192619 	  196185 	 direct 	   3567
96  	 203403 	  208016 	 direct 	   4614
97  	 218140 	  219145 	 direct 	   1006
98  	 220198 	  220497 	 direct 	    300
99  	 221049 	  221660 	 direct 	    612
100 	 222406 	  222891 	 direct 	    486
101 	 225460 	  226863 	 direct 	   1404
